Civilité,Prénom,Nom d'usage,Structure ou affectation,Corps,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
Mme,Example1,EXAMPLE-1,11,CERT,,,0,0,0,0,0,0,0.166666666666667,0.111111111111111,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0
M.,Example2,EXAMPLE-2,75,AG LABO,,,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
M.,Example3,EXAMPLE-3,0300025P,553,,0.222222222222222,0,0,0,0,0.194444444444444,0.194444444444444,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0
M.,Example4,EXAMPLE-4, 9760125 G,56,0.114,,,,,,,,,,,,,,,,,,,,,,,
Mme,Example5,EXAMPLE-5,9760008E,911,,,0,0,0,0,0,0.100031113876789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example6,EXAMPLE-6,29,PE,,,0,0,0,0,0,0,0,0.222222222222222,0,0.111111111111111,0.222222222222222,0.074074074074074,0,0,0,0,0,0,0,0,0,0
M.,Example7,EXAMPLE-7,0610026X,553,0.222,,,,,,,,,,,,,,,,,,,,,,,
Mme,Example8,EXAMPLE-8,0511254L,551,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,
M.,Example9,EXAMPLE-9,9760308F,553,,,0,0,0,0,0,0.166666666666667,0.166666666666667,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example10,EXAMPLE-10,92,PE,,,0,0,0,0,0,0,0,0,0,0.259259259259259,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example11,EXAMPLE-11,31-65,PE,,,0,0,0.203703703703704,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0,0,0,0.111111111111111,0.333333333333333,0.222222222222222,0,0.240740740740741,0,0,0,0,0,0,0
Mme,Example12,EXAMPLE-12,0131704G,551,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,
M. ,Example13,EXAMPLE-13,13,PLP,,,0,0,0,0,0,0,0,0,0,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0
Mme,Example14,EXAMPLE-14,0020015F,553,,0.194444444444444,0.138888888888889,,,,,,,,,,,,,,,,,,,,,
Mme,Example15,EXAMPLE-15,Fr C,MA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0
Mme,Example16,EXAMPLE-16,0849999M,990,,0.024390243902439,0.024390243902439,0.024390243902439,0.024096385542169,0,0,0.024096385542169,0.024096385542169,0.024096385542169,0.024096385542169,0.024096385542169,0.024096385542169,0.05421686746988,0.024096385542169,0,0,0,0,0,0,0,0,0
M.,Example17,EXAMPLE-17,0692303D,615,,,0,0,0.194444444444444,0.101851851851852,0.194444444444444,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example18,EXAMPLE-18,9760094Y,960,,,0,0,0,0,0,0.100031113876789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example19,EXAMPLE-19,0750951B,615,,,,,,,,,,,,,,,,,,,,,,,,
Mme,Example20,EXAMPLE-20,0050007F,553,,,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example21,EXAMPLE-21,0070042H,553,,,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example22,EXAMPLE-22,9,CERT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0
M.,Example23,EXAMPLE-23,0040094F,615,,,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example24,EXAMPLE-24,9730373T,993,,,0,0,0,0,0.083333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example25,EXAMPLE-25,976,PE,,,0,0,0,0,0,0,0,0,0,0,0.185185185185185,0.185185185185185,0.185185185185185,0,0,0,0,0,0,0,0,0
Mme,Example26,EXAMPLE-26,50,PE,,,0,0,0.203703703703704,0.185185185185185,0.185185185185185,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example27,EXAMPLE-27,0631479R,559,,,0,0,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example28,EXAMPLE-28,75,PLP,,,0,0,0,0,0,0,0,0,0,0.444444444444444,0.222222222222222,0.333333333333333,0,0,0,0,0,0,0,0,0,0
M.,Example29,EXAMPLE-29,75,PLP,,,0,0,0,0,0,0,0,0,0.444444444444444,0,0.333333333333333,0,0.333333333333333,0.222222222222222,0.333333333333333,0.333333333333333,0.333333333333333,0.222222222222222,0.333333333333333,0,0,0
M.,Example30,EXAMPLE-30,76-27,PE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.222222222222222,0,0,0,0,0
M.,Example31,EXAMPLE-31,9760370Y,56,0.114,0.114285714285714,,,,,,,,,,,,,,,,,,,,,,
Mme,Example32,EXAMPLE-32,Gre,MI-SE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0,0,0
M.,Example33,EXAMPLE-33,Crét,OP,,,0,0,0,0,0,0,0,0,0,0,0.5,0.497822028624767,0.5,0.248911014312383,0,0,0,0,0,0,0,0
Mme,Example34,EXAMPLE-34,0753350J,790,,,0,0,0,0,0.194150591163659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example35,EXAMPLE-35,29/75,AG LABO,,,0,0,0,0,0,0,0,0,0,0,0.057142857142857,0,0,0,0,0.5,0,0,0,0,0,0
Mme,Example36,EXAMPLE-36,16,CERT eps,,,0,0,0.25,0.2,0.388888888888889,0.388888888888889,0.388888888888889,0.333333333333333,0.305555555555556,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example37,EXAMPLE-37,79,CERT,,,0,0,0,0,0,0,0,0,0.055555555555556,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0
Mme,Example38,EXAMPLE-38,0641839B,551,0.133,0.133333333333333,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example39,EXAMPLE-39,31-65,AGR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0
M.,Example40,EXAMPLE-40,30,PE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.5,0,0,0
M. ,Example41,EXAMPLE-41,63-03,PE,,,0,0,0,0,0,0,0.481481481481481,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example42,EXAMPLE-42,75,SAC,,,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.228571428571429,0.228571428571429,0.214285714285714,0.228571428571429,0,0,0,0
M.,Example43,EXAMPLE-43,84,993,,,0.166666666666667,0,0,0,0.13,0.5,1,0,0,0.25,0.222222222222222,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0
Mme,Example44,EXAMPLE-44,50,PE,,,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0
Mme,Example45,EXAMPLE-45,50,PLP,,,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example46,EXAMPLE-46,29,PE,,,0,0,0,0,0,0,0,0,0,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0
Mme,Example47,EXAMPLE-47,0021492L,553,,0.217592592592593,0.166666666666667,0.305555555555556,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example48,EXAMPLE-48,0754335E,615,,0.111111111111111,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example49,EXAMPLE-49,66,CERT,,,0.361111111111111,0.277777777777778,0.5,0.333333333333333,0.277777777777778,0,0,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0
M.,Example50,EXAMPLE-50,9740002J,CERT,,,0.166666666666667,0,0,0,0,0,0,0,0.111111111111111,0.222222222222222,0.222222222222222,0.222222222222222,0.083333333333333,0.166666666666667,0,0,0,0,0,0,0,0
M. ,Example51,EXAMPLE-51,0760029U,553,0.306,0.194444444444444,0.166666666666667,0,0,0,0,0,0,0.055555555555556,0.055555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example52,EXAMPLE-52,0670085D,553,,,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. ,Example53,EXAMPLE-53,Gre,CERT eps,,,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
Mme,Example54,EXAMPLE-54,0681758S,575,,0.055555555555556,0.055555555555556,0.055555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example55,EXAMPLE-55,5,CERT,,,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0
Mme,Example56,EXAMPLE-56,29,PE,,,0,0,0,0,0,0,0,0,0,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0
Mme,Example57,EXAMPLE-57,0594397J,553,,,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example58,EXAMPLE-58,85,PLP,,,0,0,0,0,0,0,0,0,0.277777777777778,0.277777777777778,0.277777777777778,0.277777777777778,0.277777777777778,0.166666666666667,0,0,0,0,0,0,0,0
M.,Example59,EXAMPLE-59,Fr C,PLP,,,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0
Mme,Example60,EXAMPLE-60,0371417P,553,,0.5,0.055555555555556,0.055555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.,Example61,EXAMPLE-61,46,CERT,,,0,0,0,0,0,0,0,0.277777777777778,0.277777777777778,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.222222222222222,0,0,0,0,0,0,0
Mme,Example62,EXAMPLE-62,73,CERT,,,0,0,0,0,0,0.222222222222222,0.222222222222222,0,0.5,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0
M. ,Example63,EXAMPLE-63,976,PE,,,0,0,0,0,0,0,0,0,0,0,0.185185185185185,0,0,0,0,0,0,0,0,0,0,0
Mme,Example64,EXAMPLE-64,28,CERT,,,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.25,0.222222222222222,0.222222222222222,0,0,0,0,0,0
M.,Example65,EXAMPLE-65,9760338N,941,,0.085714285714286,,,,,,,,,,,,,,,,,,,,,,
M.,Example66,EXAMPLE-66,97MAYOTTE,ATEE,,,0,0,0,0,0.1,0.100031113876789,0.087118855009334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mme,Example67,EXAMPLE-67,0692423J,553,0.278,0.166666666666667,,,,,,,,,,,,,,,,,,,,,,
Mme,Example68,EXAMPLE-68,66,PE,,,0,0,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0.444444444444444,0.222222222222222,0,0,0,0,0,0,0,0
Mme,Example69,EXAMPLE-69,0350936C,301,,,0,0.182291666666667,0,0,0,0,0.104166666666667,0,0,0,0,0.25,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0
